iter	Passed	Remaining
931	3045	222
932	3046	218
933	3048	215
934	3050	212
935	3051	208
936	3053	205
937	3054	201
938	3056	198
939	3057	195
940	3059	191
941	3061	188
942	3063	185
943	3065	181
944	3066	178
945	3068	175
946	3069	171
947	3071	168
948	3073	165
949	3075	161
950	3077	158
951	3079	155
952	3080	151
953	3082	148
954	3084	145
955	3085	142
956	3087	138
957	3088	135
958	3090	132
959	3092	128
960	3095	125
961	3097	122
962	3098	119
963	3100	115
964	3101	112
965	3102	109
966	3105	105
967	3106	102
968	3108	99
969	3111	96
970	3113	92
971	3115	89
972	3118	86
973	3120	83
974	3121	80
975	3124	76
976	3129	73
977	3131	70
978	3132	67
979	3134	63
980	3135	60
981	3138	57
982	3143	54
983	3145	51
984	3147	47
985	3149	44
986	3150	41
987	3152	38
988	3154	35
989	3160	31
990	3162	28
991	3163	25
992	3165	22
993	3166	19
994	3168	15
995	3170	12
996	3173	9
997	3175	6
998	3178	3
999	3180	0
